equipo_local,equipo_visitante,estado,fase,fecha_hora,goles_local,goles_visitante,grupo,ganador_penales
México,Sudáfrica,PENDIENTE,JORNADA_1,2026-06-11 13:00:00.000,,,GRUPO_A,
Corea del Sur,Chequia,PENDIENTE,JORNADA_1,2026-06-11 20:00:00.000,,,GRUPO_A,
Canadá,Bosnia y Herzegovina,PENDIENTE,JORNADA_1,2026-06-12 13:00:00.000,,,GRUPO_B,
Estados Unidos,Paraguay,PENDIENTE,JORNADA_1,2026-06-12 19:00:00.000,,,GRUPO_D,
Catar,Suiza,PENDIENTE,JORNADA_1,2026-06-13 13:00:00.000,,,GRUPO_B,
Brasil,Marruecos,PENDIENTE,JORNADA_1,2026-06-13 16:00:00.000,,,GRUPO_C,
Haití,Escocia,PENDIENTE,JORNADA_1,2026-06-13 19:00:00.000,,,GRUPO_C,
Australia,Turquía,PENDIENTE,JORNADA_1,2026-06-13 22:00:00.000,,,GRUPO_D,
Alemania,Curazao,PENDIENTE,JORNADA_1,2026-06-14 11:00:00.000,,,GRUPO_E,
Países Bajos,Japón,PENDIENTE,JORNADA_1,2026-06-14 14:00:00.000,,,GRUPO_F,
Costa de Marfil,Ecuador,PENDIENTE,JORNADA_1,2026-06-14 17:00:00.000,,,GRUPO_E,
Suecia,Túnez,PENDIENTE,JORNADA_1,2026-06-14 20:00:00.000,,,GRUPO_F,
España,Cabo Verde,PENDIENTE,JORNADA_1,2026-06-15 10:00:00.000,,,GRUPO_H,
Arabia Saudita,Uruguay,PENDIENTE,JORNADA_1,2026-06-15 16:00:00.000,,,GRUPO_H,
Bélgica,Egipto,PENDIENTE,JORNADA_1,2026-06-15 13:00:00.000,,,GRUPO_G,
Irán,Nueva Zelanda,PENDIENTE,JORNADA_1,2026-06-15 19:00:00.000,,,GRUPO_G,
Francia,Senegal,PENDIENTE,JORNADA_1,2026-06-16 13:00:00.000,,,GRUPO_I,
Irak,Noruega,PENDIENTE,JORNADA_1,2026-06-16 16:00:00.000,,,GRUPO_I,
Argentina,Argelia,PENDIENTE,JORNADA_1,2026-06-16 19:00:00.000,,,GRUPO_J,
Austria,Jordania,PENDIENTE,JORNADA_1,2026-06-16 22:00:00.000,,,GRUPO_J,
Portugal,RD del Congo,PENDIENTE,JORNADA_1,2026-06-17 11:00:00.000,,,GRUPO_K,
Inglaterra,Croacia,PENDIENTE,JORNADA_1,2026-06-17 14:00:00.000,,,GRUPO_L,
Ghana,Panamá,PENDIENTE,JORNADA_1,2026-06-17 17:00:00.000,,,GRUPO_L,
Uzbekistán,Colombia,PENDIENTE,JORNADA_1,2026-06-17 20:00:00.000,,,GRUPO_K,
Chequia,Sudáfrica,PENDIENTE,JORNADA_2,2026-06-18 10:00:00.000,,,GRUPO_A,
Suiza,Bosnia y Herzegovina,PENDIENTE,JORNADA_2,2026-06-18 13:00:00.000,,,GRUPO_B,
Canadá,Catar,PENDIENTE,JORNADA_2,2026-06-18 16:00:00.000,,,GRUPO_B,
México,Corea del Sur,PENDIENTE,JORNADA_2,2026-06-18 19:00:00.000,,,GRUPO_A,
Estados Unidos,Australia,PENDIENTE,JORNADA_2,2026-06-19 13:00:00.000,,,GRUPO_D,
Brasil,Haití,PENDIENTE,JORNADA_2,2026-06-19 18:30:00.000,,,GRUPO_C,
Escocia,Marruecos,PENDIENTE,JORNADA_2,2026-06-19 16:00:00.000,,,GRUPO_C,
Turquía,Paraguay,PENDIENTE,JORNADA_2,2026-06-19 21:00:00.000,,,GRUPO_D,
Alemania,Costa de Marfil,PENDIENTE,JORNADA_2,2026-06-20 14:00:00.000,,,GRUPO_E,
